,X,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol.x,idx,beta,pval,cilb,ciub,i2,tau2,symbol.y
1199,ENSG00000147853.15,0.845296864906657,0.788579289793747,0.906093780383083,2.10856049193574e-06,0.833000631525765,0.740192060112067,0.937445954253098,0.00243128480586265,AK3,44864,-0.731728953109781,2.78041746355886e-12,-0.936949419274878,-0.526508486944684,98.2000723255746,0.241852701767149,AK3
744,ENSG00000124228.13,1.15688743346551,1.06450502080607,1.25728719691425,0.000598892659641757,1.17908810521194,1.01734597830723,1.36654470504276,0.0286396821236699,DDX27,26540,0.472194146928384,3.18437028944074e-12,0.339400531113767,0.604987762743001,96.7815482616631,0.0947710339128054,DDX27
1800,ENSG00000189241.6,0.890734388732579,0.824481216032299,0.962311494601375,0.0033447103117733,0.888000006561055,0.759842737836675,1.03777265003213,0.135249075777102,TSPYL1,43453,-0.674272266467718,4.04473308736325e-12,-0.864817790721698,-0.483726742213737,98.2610142035956,0.204745398324782,TSPYL1
1586,ENSG00000173457.9,1.15556760100295,1.09743966854287,1.21677438748018,3.9991622442228e-08,1.14254168332431,1.06045755463132,1.23097948845995,0.000459818368863987,PPP1R14B,52761,1.12125391526934,4.26392100242747e-12,0.804052553408138,1.43845527713054,97.9098425341592,0.553512759116347,PPP1R14B
440,ENSG00000106397.10,1.14392768802672,1.0792585122584,1.21247184114945,5.92937280554882e-06,1.16324784111938,1.05738273667685,1.27971215429673,0.00189598152614789,PLOD3,2988,0.830806841565074,4.79528546142255e-12,0.595206811628206,1.06640687150194,98.1340542069443,0.296399260585968,PLOD3
1300,ENSG00000158850.13,1.21921128226701,1.12744464580383,1.31844712406911,6.88846800265501e-07,1.26586051403525,1.1314836383937,1.41619621055098,3.83153853284289e-05,B4GALT3,52354,0.53057486767457,5.3108183428269e-12,0.379798295482773,0.681351439866367,97.4118840699005,0.121208135456643,B4GALT3
1446,ENSG00000167004.11,1.12300504711922,1.041176898232,1.21126423184836,0.00265302131887914,1.15825428755768,1.01910060636061,1.31640878856572,0.0244684214122475,PDIA3,1395,0.504115194937251,5.9550681068271e-12,0.360518654841755,0.647711735032746,95.8586148718505,0.108805315980214,PDIA3
336,ENSG00000102178.11,1.12575736512317,1.04044197194603,1.21806855096268,0.00321991364398338,1.12575736512317,1.04044197194603,1.21806855096268,0.00321991364398338,UBL4A,34696,0.414080433513115,6.34130400875082e-12,0.295976435841338,0.532184431184892,95.1348790235,0.0737612509209095,UBL4A
1113,ENSG00000143256.4,1.13276041069786,1.06610756116612,1.20358038417893,5.60442688395113e-05,1.16622105438534,1.04794817165078,1.29784237854932,0.00482681943756455,PFDN2,10690,0.61751438534129,1.00157745404915e-11,0.439692324774042,0.795336445908538,95.8927173641083,0.166016681080891,PFDN2
570,ENSG00000113716.11,1.25663363247696,1.13605174226129,1.39001422869088,9.06625821810523e-06,1.25432276246549,1.08582095541677,1.44897331792162,0.00207963890830176,HMGXB3,48925,0.440476382831002,1.10311725429513e-11,0.313375125928945,0.567577639733059,96.7299848366492,0.0894567225139204,HMGXB3
366,ENSG00000103495.12,1.10083889467091,1.02701413901235,1.17997038793027,0.0066761675902213,1.10741123397328,0.993284496574313,1.23465094377266,0.0659829747320809,MAZ,33241,0.523267882646115,1.1469514700372e-11,0.372151719129298,0.674384046162932,95.7416788832262,0.11764597496632,MAZ
568,ENSG00000113648.15,1.13681455502691,1.02848535128752,1.25655395179251,0.0120841596493346,1.12549850386211,0.991440685853942,1.27768297213341,0.0676824253879579,H2AFY,7784,0.557949135472404,1.18514331348334e-11,0.396704898652086,0.719193372292722,97.7149309504137,0.14195490982073,H2AFY
770,ENSG00000125826.18,1.11035003046265,1.03654376998473,1.18941160600151,0.0028572462649392,1.04440848407423,0.897184652405379,1.21579106227663,0.575151856511972,RBCK1,39557,0.502611871821013,1.24453947847893e-11,0.357208296374405,0.648015447267621,96.6660788434575,0.111061231185989,RBCK1
